id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
652750;1468360;02/01/2025;quinta-feira;11:57:00;PE;232;16;JABOATAO DOS GUARARAPES;Sim;Acessar a via sem observar a presença dos outros veículos;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;1173451;Automóvel;FIAT/SIENA HLX FLEX;2006;Condutor;Lesões Leves;43;Masculino;0;1;0;0;-8,09414193;-35,03716601;SPRF-PE;DEL01-PE;UOP01-DEL01-PE
652750;1468357;02/01/2025;quinta-feira;11:57:00;PE;232;16;JABOATAO DOS GUARARAPES;Sim;Acessar a via sem observar a presença dos outros veículos;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;1173450;Caminhão;SCANIA/P 310 B8X2;2013;Condutor;Ileso;25;Masculino;1;0;0;0;-8,09414193;-35,03716601;SPRF-PE;DEL01-PE;UOP01-DEL01-PE
652889;1468821;03/01/2025;sexta-feira;06:30:00;PE;232;276;SERTANIA;Sim;Carga excessiva e/ou mal acondicionada;1;Derramamento de carga;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1173733;Utilitário;I/TOYOTA HILUX SWSRXA4RD;2024;Passageiro;Lesões Graves;47;Feminino;0;0;1;0;-8,37073085;-37,26126285;SPRF-PE;DEL04-PE;UOP02-DEL04-PE
652889;1468820;03/01/2025;sexta-feira;06:30:00;PE;232;276;SERTANIA;Sim;Carga excessiva e/ou mal acondicionada;1;Derramamento de carga;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1173733;Utilitário;I/TOYOTA HILUX SWSRXA4RD;2024;Condutor;Ileso;58;Masculino;1;0;0;0;-8,37073085;-37,26126285;SPRF-PE;DEL04-PE;UOP02-DEL04-PE
652889;1468840;03/01/2025;sexta-feira;06:30:00;PE;232;276;SERTANIA;Sim;Carga excessiva e/ou mal acondicionada;1;Derramamento de carga;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1173730;Caminhão;Não Informado/Não Informado;0;Condutor;Não Informado;NA;Não Informado;0;0;0;0;-8,37073085;-37,26126285;SPRF-PE;DEL04-PE;UOP02-DEL04-PE
652919;1468854;03/01/2025;sexta-feira;10:40:00;PE;232;5;RECIFE;Sim;Condutor deixou de manter distância do veículo da frente;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Múltipla;Reta;Sim;1173757;Automóvel;HYUNDAI/HB20S 1.6A PREM;2015;Condutor;Ileso;51;Masculino;1;0;0;0;-8,06795766;-34,94535414;SPRF-PE;DEL01-PE;UOP01-DEL01-PE
652919;1468853;03/01/2025;sexta-feira;10:40:00;PE;232;5;RECIFE;Sim;Condutor deixou de manter distância do veículo da frente;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Múltipla;Reta;Sim;1173756;Motocicleta;HONDA/CG 160 FAN;2024;Condutor;Lesões Graves;24;Masculino;0;0;1;0;-8,06795766;-34,94535414;SPRF-PE;DEL01-PE;UOP01-DEL01-PE
652920;NA;03/01/2025;sexta-feira;11:05:00;PE;232;5,5;RECIFE;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Sim;1173772;Semireboque;SR/NIJU NJSRFR 3E;2014;NA;NA;NA;NA;NA;NA;NA;NA;-8,069481;-34,9491;SPRF-PE;DEL01-PE;UOP01-DEL01-PE
652920;1468889;03/01/2025;sexta-feira;11:05:00;PE;232;5,5;RECIFE;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Sim;1173770;Caminhão-trator;M.BENZ/AXOR 2536 LS;2021;Condutor;Ileso;45;Masculino;1;0;0;0;-8,069481;-34,9491;SPRF-PE;DEL01-PE;UOP01-DEL01-PE
652920;1468887;03/01/2025;sexta-feira;11:05:00;PE;232;5,5;RECIFE;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Sim;1173769;Automóvel;CHEVROLET/CLASSIC LS;2011;Condutor;Ileso;46;Masculino;1;0;0;0;-8,069481;-34,9491;SPRF-PE;DEL01-PE;UOP01-DEL01-PE
